country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Maharashtra,Amravati,"Shri Shivaji Science College, Amravati - MPCB","24-06-2025 00:00:00",20.939198,77.765701,PM2.5,14,34,23
India,Maharashtra,Amravati,"Shri Shivaji Science College, Amravati - MPCB","24-06-2025 00:00:00",20.939198,77.765701,PM10,18,46,30
India,Maharashtra,Aurangabad,"MIDC Chilkalthana, Aurangabad - MPCB","24-06-2025 00:00:00",19.875620,75.387310,PM2.5,35,48,40
India,Maharashtra,Aurangabad,"MIDC Chilkalthana, Aurangabad - MPCB","24-06-2025 00:00:00",19.875620,75.387310,NO2,15,31,21
India,Maharashtra,Aurangabad,"MIDC Chilkalthana, Aurangabad - MPCB","24-06-2025 00:00:00",19.875620,75.387310,CO,8,22,11
India,Maharashtra,Aurangabad,"MIDC Chilkalthana, Aurangabad - MPCB","24-06-2025 00:00:00",19.875620,75.387310,OZONE,13,51,26
India,Maharashtra,Aurangabad,"More Chowk Waluj, Aurangabad - MPCB","24-06-2025 00:00:00",19.8389439,75.244448,NH3,10,11,10
India,Maharashtra,Aurangabad,"Rachnakar Colony, Aurangabad - MPCB","24-06-2025 00:00:00",19.863756,75.321188,PM2.5,30,56,38
India,"Madhya Pradesh",Gwalior,"City Center, Gwalior - MPPCB","24-06-2025 00:00:00",26.203442,78.193251,NH3,1,2,2
India,"Madhya Pradesh",Gwalior,"Deen Dayal Nagar, Gwalior - MPPCB","24-06-2025 00:00:00",26.259242,78.216432,PM10,2,34,14
India,"Madhya Pradesh",Gwalior,"Deen Dayal Nagar, Gwalior - MPPCB","24-06-2025 00:00:00",26.259242,78.216432,NO2,2,22,10
India,"Madhya Pradesh",Gwalior,"Deen Dayal Nagar, Gwalior - MPPCB","24-06-2025 00:00:00",26.259242,78.216432,NH3,3,14,6
India,"Madhya Pradesh",Gwalior,"Maharaj Bada, Gwalior - MPPCB","24-06-2025 00:00:00",26.200388,78.147714,PM2.5,13,500,47
India,"Madhya Pradesh",Gwalior,"Maharaj Bada, Gwalior - MPPCB","24-06-2025 00:00:00",26.200388,78.147714,NO2,14,25,20
India,"Madhya Pradesh",Gwalior,"Maharaj Bada, Gwalior - MPPCB","24-06-2025 00:00:00",26.200388,78.147714,SO2,3,12,8
India,"Madhya Pradesh",Indore,"Chhoti Gwaltoli, Indore - MPPCB","24-06-2025 00:00:00",22.4310,75.5213,NH3,5,6,6
India,"Madhya Pradesh",Indore,"Maguda Nagar, Indore - IMC","24-06-2025 00:00:00",22.7524,75.8872,OZONE,6,10,9
India,"Madhya Pradesh",Indore,"Vijay Nagar Scheme-78, Indore - Glenmark","24-06-2025 00:00:00",22.76726,75.88710,PM2.5,50,54,52
India,"Madhya Pradesh",Indore,"Vijay Nagar Scheme-78, Indore - Glenmark","24-06-2025 00:00:00",22.76726,75.88710,NO2,27,28,28
India,"Madhya Pradesh",Jabalpur,"Govindh Bhavan Colony, Jabalpur - JMC","24-06-2025 00:00:00",23.163174,79.973061,PM10,NA,NA,NA
India,"Madhya Pradesh",Jabalpur,"Govindh Bhavan Colony, Jabalpur - JMC","24-06-2025 00:00:00",23.163174,79.973061,OZONE,17,41,28
India,Maharashtra,Jalgaon,"Prabhat Colony, Jalgaon - MPCB","24-06-2025 00:00:00",21.001264,75.565602,NH3,2,3,3
India,Maharashtra,Jalna,"Old MIDC, Jalna - MPCB","24-06-2025 00:00:00",19.854616,75.905894,PM2.5,NA,NA,NA
India,Maharashtra,Jalna,"Old MIDC, Jalna - MPCB","24-06-2025 00:00:00",19.854616,75.905894,NO2,NA,NA,NA
India,Maharashtra,Jalna,"Old MIDC, Jalna - MPCB","24-06-2025 00:00:00",19.854616,75.905894,CO,3,8,6
India,Maharashtra,Kalyan,"Khadakpada, Kalyan - MPCB","24-06-2025 00:00:00",19.25292,73.142019,PM10,25,91,53
India,Maharashtra,Ahmednagar,"Tarakpur, Ahmednagar - MPCB","24-06-2025 00:00:00",19.10122,74.73339,NO2,9,31,17
